org,tier,template,target_role,city,first_send,followup_1,followup_2,status,contact_name,contact_email,reply
"Nivano Physicians, Inc. IPA",A,A,RCM/Ops Director,"Stockton area, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
"Rancho Health Management, LLC (Rancho Family Medical Group)",A,A,RCM/Ops Director,"Temecula, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
"United Physicians Association, Inc",A,A,RCM/Ops Director,"Los Angeles area, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
Commonwealth Primary Care ACO LLC,A,A,Medical Director,AZ / CA / NC,2026-07-21,2026-07-27,2026-07-31,drafted,,,
CareConnectMD DCE LLC,A,A,RCM/Ops Director,CA + multi-state,2026-07-21,2026-07-27,2026-07-31,drafted,,,
Santa Clara County IPA (SCCIPA),A,A,RCM/Ops Director,"Foster City, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
"Key Medical Group, Inc.",A,A,RCM/Ops Director,"Visalia, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
"Santé Health System, Inc.",A,B,Compliance Officer,"Fresno, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
"Riverside Medical Clinic, Inc. (RMCI)",A,A,RCM/Ops Director,"Riverside, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
Meritage Medical Network,A,A,RCM/Ops Director,"Novato, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
Choice Medical Group,A,A,RCM/Ops Director,"Apple Valley, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
Edinger Medical Group,A,A,RCM/Ops Director,"Fountain Valley, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
Valley Care IPA,A,A,RCM/Ops Director,"Camarillo, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
SeaView IPA,A,A,RCM/Ops Director,"Oxnard, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
Jade Health Care Medical Group,A,A,RCM/Ops Director,"San Francisco, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
AllCare IPA,A,A,RCM/Ops Director,"Modesto, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
Community Health Partners,A,A,RCM/Ops Director,"Fresno, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
River City Medical Group,A,A,RCM/Ops Director,"Sacramento, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
"OPN Healthcare, Inc.",A,A,RCM/Ops Director,"Glendale, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
Preferred IPA of California,A,A,RCM/Ops Director,"Glendale, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
Affinity Medical Group,A,A,RCM/Ops Director,"Pinole, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
"California Pacific Physicians Medical Group, Inc.",A,A,RCM/Ops Director,"Cypress, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
WellSpace Nexus,A,A,RCM/Ops Director,"Sacramento, CA",2026-07-21,2026-07-27,2026-07-31,drafted,,,
